rank2Days,country2Days,totalCases2Days,newCases2Days,totalDeaths2Days,newDeaths2Days,totalRecovered2Days,newRecovered2Days,activeCases2Days,seriousCritical2Days,casesPerMillion2Days,deathsPerMillion2Days,totalTests2Days,testsPerMillion2Days,population2Days
1,USA,101394667,24107,1110295,139,98608493,39176,1675879,3801,302847,3316,1145374855,3421018,334805269
2,India,44676246,172,530658,None,44140592,175,4996,698,31761,377,908416385,645810,1406631776
3,France,38515721,10878,159870,167,37283243,64680,1072608,869,587268,2438,271490188,4139547,65584518
4,Germany,36812671,53745,159177,211,36097800,37700,555694,1406,438854,1898,122332384,1458359,83883596
5,Brazil,35659520,43930,691021,75,34436602,81713,531897,8318,165586,3209,63776166,296146,215353593
6,S. Korea,27754149,25667,31099,30,26753073,59049,969977,478,540701,606,15804065,307892,51329899
7,Japan,26133192,63369,51829,127,20848373,9594,5232990,409,208092,413,83692489,666422,125584838
8,Italy,24709404,None,182419,None,24003910,None,523075,335,410028,3027,259639054,4308449,60262770
9,UK,24053576,None,197723,None,23777405,3916,78448,146,351158,2887,522526476,7628357,68497907
10,Russia,21671528,6376,392661,50,21066616,5032,212251,2300,148633,2693,273400000,1875095,145805947
11,Turkey,17042722,None,101492,None,None,None,None,None,199186,1186,162743369,1902052,85561976
12,Spain,13632635,None,116422,None,13422605,None,93608,339,291800,2492,471036328,10082298,46719142
13,Vietnam,11521022,383,43178,None,10609677,56,868167,59,116429,436,85826548,867342,98953541
14,Australia,10862500,2873,16462,None,10546102,None,299936,89,416686,631,78835048,3024116,26068792
15,Argentina,9766975,None,130041,None,9591677,None,45257,248,212278,2826,35716069,776264,46010234
16,Netherlands,8552057,419,22937,1,8505579,962,23541,33,496882,1333,25984435,1509718,17211447
17,Taiwan,8481027,10840,14710,31,8178384,18132,287933,None,355024,616,28777968,1204674,23888595
18,Iran,7560217,55,144658,None,7335537,36,80022,61,87886,1682,54420785,632632,86022837
19,Mexico,7156730,None,330667,None,6412560,None,413503,4798,54398,2513,18849619,143275,131562772
20,Indonesia,6700015,1225,160255,31,6502605,3848,37155,2771,24003,574,113086080,405131,279134505
21,Poland,6357697,208,118382,None,5335940,None,903375,1530,168461,3137,37857513,1003119,37739785
22,Colombia,6323357,None,141943,None,6145467,None,35947,342,122753,2755,36951507,717327,51512762
23,Austria,5616875,3378,21279,4,5550132,5086,45464,47,619505,2347,203290090,22421594,9066710
24,Portugal,5549479,None,25584,None,5506853,378,17042,61,547255,2523,45641725,4500903,10140570
25,Greece,5448700,None,34482,None,5382782,6287,31436,115,528147,3342,100913205,9781599,10316637
26,Ukraine,5346094,None,110640,None,5223722,965,11732,None,123775,2562,32603805,754855,43192122
27,Malaysia,5011443,809,36769,6,4956702,1552,17972,72,151033,1108,66778987,2012563,33181072
28,Chile,4961151,2335,62745,30,4883016,None,15390,126,257720,3259,47317389,2458021,19250195
29,DPRK,4772813,None,74,None,4772739,None,0,None,183636,3,None,None,25990679
