nowRank,nowCountry,nowTotalCases,nowNewCases,nowTotalDeaths,nowNewDeaths,nowTotalRecovered,nowNewRecovered,nowActiveCases,nowSeriousCritical,nowCasesPerMillion,nowDeathsPerMillion,nowTotalTests,nowTestsPerMillion,nowPopulation
1,USA,80145282,None,960157,None,51929244,None,27255881,11130,239824,2873,939513088,2811368,334183570
2,India,42851929,None,512371,None,42158510,None,181048,8944,30560,365,761230580,542869,1402235728
3,Brazil,28250591,None,644695,None,25244026,None,2361870,8318,131376,2998,63776166,296584,215035499
4,France,22304024,None,132662,None,19424964,3932,2746398,3055,340466,2025,243529298,3717424,65510236
5,UK,18695449,41130,160815,205,16918511,101391,1616123,324,273044,2349,477969909,6980676,68470433
6,Russia,15657928,135172,347031,796,12657025,164293,2653872,2300,107219,2376,273400000,1872128,146037024
7,Germany,13764965,50710,122175,135,10031200,201900,3611590,2494,163435,1451,104701826,1243150,84223015
8,Turkey,13589511,None,92719,None,12755700,None,741092,1128,158338,1080,140748139,1639924,85826038
9,Italy,12554596,60029,153512,322,11109291,89993,1291793,896,208147,2545,184981913,3066874,60316106
10,Spain,10858000,None,98462,None,8735901,None,2023637,1284,232086,2105,471036328,10068222,46784460
11,Argentina,8838674,None,125451,None,8596460,None,116763,1542,192667,2735,33914284,739270,45875348
12,Iran,6983635,22073,135499,223,6539753,22317,308383,3918,81438,1580,46780865,545522,85754239
13,Netherlands,6153207,34665,21507,18,3922750,74414,2208950,171,357807,1251,21107399,1227388,17197011
14,Colombia,6049952,None,138205,None,5870879,None,40868,342,116859,2670,32980562,637041,51771513
15,Poland,5582217,18792,110157,325,4935340,44530,536720,947,147761,2916,33181435,878311,37778671
16,Mexico,5418257,4832,315786,98,4676499,12177,425972,4798,41313,2408,14895473,113574,131152303
17,Indonesia,5289414,57491,146798,257,4593185,38474,549431,2807,19009,528,82000597,294688,278262700
18,Ukraine,4758773,24440,104932,287,3985601,33238,668240,177,109894,2423,19430200,448702,43303109
19,Japan,4540656,55903,22000,179,3698801,85534,819855,1504,36082,175,37793387,300324,125841851
