nowRank,nowCountry,nowTotalCases,nowNewCases,nowTotalDeaths,nowNewDeaths,nowTotalRecovered,nowNewRecovered,nowActiveCases,nowSeriousCritical,nowCasesPerMillion,nowDeathsPerMillion,nowTotalTests,nowTestsPerMillion,nowPopulation
1,USA,80377882,5478,966736,206,52455948,2386,26955198,9995,240513,2893,944161025,2825187,334194157
2,India,42881179,None,512954,None,42219896,None,148329,8944,30579,366,763569165,544508,1402309809
3,Brazil,28485502,None,646490,None,25772807,None,2066205,8318,132464,3006,63776166,296573,215043743
4,France,22468239,None,137489,None,20009852,None,2320898,3055,342969,2099,243529298,3717379,65511023
5,UK,18773164,38933,161104,125,17088177,76308,1523883,304,274171,2353,479556923,7003655,68472378
6,Russia,15928568,132998,348578,762,12972661,136433,2607329,2300,109072,2387,273400000,1872124,146037365
7,Germany,14174906,82285,122733,111,10435800,201700,3616373,2494,168299,1457,104701826,1243128,84224475
8,Turkey,13762181,None,93258,None,12949425,None,719498,1128,160340,1087,141675559,1650634,85830994
9,Italy,12651251,46169,154013,249,11298010,69439,1199228,839,209751,2553,185945890,3082881,60315622
10,Spain,10949997,35892,99162,226,9080144,101510,1770691,1112,234052,2120,471036328,10068201,46784558
11,Argentina,8868188,None,125775,None,8615796,None,126617,1452,193301,2742,34056182,742327,45877612
12,Iran,7011932,12957,135952,226,6579768,18392,296212,4110,81762,1585,46780865,545485,85760114
13,Netherlands,6234953,41177,21531,13,4059701,63244,2153721,171,362556,1252,21107399,1227373,17197217
14,Colombia,6054307,None,138364,None,5877343,None,38600,342,116936,2672,33050451,638354,51774475
15,Poland,5620946,18282,110858,341,5003336,33455,506752,921,148787,2934,33373589,883403,37778445
16,Mexico,5455237,18671,316941,449,4715751,19337,422545,4798,41592,2416,14974790,114172,131159700
17,Indonesia,5408328,57426,147342,317,4674873,42518,586113,2807,19435,529,83025519,298354,278278496
18,Ukraine,4809624,25789,105505,276,4058020,34987,646099,177,111072,2437,19521252,450820,43301680
19,Japan,4684839,77810,22529,257,3855553,72136,806757,1474,37229,179,38137842,303067,125839744
20,South Africa,3665149,None,98978,None,3531960,None,34211,546,60543,1635,22964127,379335,60537858
21,Philippines,3657342,1745,56165,188,3546098,2045,55079,299,32661,502,27993027,249986,111978439
22,Israel,3589333,None,10075,None,3467926,None,111332,673,384874,1080,41373364,4436346,9326000
23,Czechia,3549479,11211,38433,13,3369019,8802,142027,230,330441,3578,52451684,4883019,10741651
