nowRank,nowCountry,nowTotalCases,nowNewCases,nowTotalDeaths,nowNewDeaths,nowTotalRecovered,nowNewRecovered,nowActiveCases,nowSeriousCritical,nowCasesPerMillion,nowDeathsPerMillion,nowTotalTests,nowTestsPerMillion,nowPopulation
1,USA,79981816,67089,957018,1348,51107470,88155,27917328,12908,239350,2864,937014644,2804070,334162397
2,India,42801326,21091,511262,325,42027130,49892,262934,8944,30527,365,756851787,539804,1402087567
3,Brazil,28058862,117386,643029,1032,24708484,None,2707349,8318,130495,2991,63776166,296607,215019011
4,France,22151188,82553,136446,304,18672483,332111,3342259,3055,338141,2083,243529298,3717513,65508662
5,UK,18546205,47685,160379,158,16519746,57633,1866080,331,270880,2342,474976532,6937352,68466544
6,Russia,15020573,180071,343957,784,12026844,198369,2649772,2300,102855,2355,271700000,1860496,146036343
7,Germany,13360578,206037,121693,246,9484400,163700,3754485,2494,158639,1445,104701826,1243193,84220095
8,Turkey,13353676,87411,91910,264,12473470,102094,788296,1128,155608,1071,139384191,1624219,85816125
9,Italy,12377098,53662,152596,314,10820380,87472,1404122,987,205201,2530,183281687,3038637,60317073
10,Spain,10809222,30615,97998,288,8326793,110129,2384431,1284,231044,2095,471036328,10068264,46784263
11,Argentina,8799858,None,124924,None,8518034,None,156900,1789,191840,2723,33736896,735476,45870820
12,Iran,6913427,19317,134607,187,6427388,24567,351432,3842,80630,1570,46144867,538180,85742490
13,Colombia,6035143,None,137733,None,5852934,None,44476,342,116586,2661,32868692,634953,51765589
14,Netherlands,6012521,49283,21465,16,3677637,47278,2313419,172,349634,1248,21107399,1227417,17196597
15,Poland,5519282,23990,109509,304,4786838,40977,622935,1024,146093,2899,32858524,869754,37779122
16,Mexico,5366405,21565,314598,470,4612278,21190,439529,4798,40922,2399,14796374,112831,131137507
17,Indonesia,5089637,59635,146044,216,4447210,32904,496383,2428,18293,525,80146641,288058,278231109
18,Ukraine,4672198,34938,104106,282,3896009,29254,672083,177,107888,2404,19288823,445408,43305965
19,Japan,4241800,95603,21198,244,3351479,91022,869123,1482,33706,168,37131580,295056,125846063
20,South Africa,3654824,2800,98298,343,3518316,3120,38210,546,60385,1624,22830172,377199,60525601
21,Philippines,3648925,2232,55409,79,3527720,3010,65796,307,32593,495,27872998,248967,111954527
22,Israel,3523464,15242,9828,60,3361225,31636,152411,808,377811,1054,41373364,4436346,9326000
23,Belgium,3484518,11503,29886,54,2454195,22837,1000437,352,298543,2561,31308522,2682422,11671737
24,Czechia,3483932,15517,38106,26,3256834,44848,188992,260,324348,3548,52133414,4853536,10741327
25,Peru,3474965,None,208964,None,N/A,None,None,1269,103056,6197,26777800,794140,33719259
26,Canada,3232968,5556,35982,59,3070261,7592,126725,912,84454,940,57627190,1505381,38280793
27,Malaysia,3166023,27808,32276,37,2900682,12488,233065,235,95821,977,47483714,1437122,33040847
28,Portugal,3163869,15482,20759,51,2626220,36710,516890,127,311763,2046,33409187,3292096,10148302
29,Australia,2992940,25862,4834,36,2774650,None,213456,208,115195,186,62732390,2414511,25981402
30,Chile,2783458,34117,41067,131,1861721,9341,880670,970,143601,2119,32048371,1653401,19383298
31,Vietnam,2685463,42439,39358,80,2261180,6215,384925,2213,27191,399,78259191,792385,98764140
32,Thailand,2674477,18066,22568,27,2502323,12511,149586,687,38160,322,17270775,246426,70085127
33,Switzerland,2652931,9780,13117,None,1807046,39273,832768,183,302927,1498,18265214,2085630,8757650
34,Romania,2643614,14524,62323,125,2249116,33654,332175,1132,138927,3275,20565431,1080756,19028741
35,Austria,2424742,31166,14537,34,2107339,34704,302866,194,266747,1599,154061824,16948395,9090054
36,Sweden,2422856,None,16817,None,1725058,40538,680981,79,237494,1648,17964116,1760881,10201778
37,Denmark,2401310,33699,4250,43,1838071,37894,558989,33,412213,730,124124205,21307380,5825409
38,Iraq,2288777,2326,24840,16,2213097,4434,50840,238,54899,596,17825671,427573,41690382
39,Greece,2274025,18604,25183,88,2022754,10886,226088,470,219922,2435,62801589,6073561,10340159
40,Bangladesh,1929154,2584,28931,24,1737854,9988,162369,1289,11527,173,13158764,78626,167359924
41,Serbia,1874134,6298,14728,62,1647835,None,211571,138,215912,1697,8604229,991263,8680069
42,S. Korea,1755806,109828,7283,45,852368,11135,896155,389,34199,142,15804065,307825,51341022
43,Hungary,1746424,7480,43066,100,1504055,10815,199303,288,181533,4477,10597050,1101517,9620413
44,Jordan,1553758,12379,13629,21,1350483,18877,189646,1106,149861,1315,15881146,1531747,10367998
45,Georgia,1526205,14405,15771,42,1348581,24409,161853,None,383787,3966,15547456,3909638,3976700
46,Pakistan,1496693,2400,29950,33,1396218,3009,70525,1496,6568,131,25997179,114088,227869297
47,Slovakia,1324503,17536,18201,22,1063750,19499,242552,244,242408,3331,6156090,1126674,5463948
48,Kazakhstan,1296601,1351,13519,None,1244669,4107,38413,528,67735,706,11575012,604685,19142226
49,Ireland,1265124,4795,6417,15,1116026,6732,142681,57,251638,1276,11250554,2237778,5027555
50,Morocco,1158145,508,15870,15,1132920,1333,9355,293,30783,422,11237010,298677,37622566
51,Norway,1103956,None,1548,None,88952,None,1013456,21,201076,282,9852076,1794470,5490244
52,Cuba,1064128,647,8484,2,1052276,857,3368,34,94043,750,12920253,1141833,11315360
53,Bulgaria,1059192,None,34884,None,772388,None,251920,588,154327,5083,8975653,1307779,6863280
54,Lebanon,1039299,4090,9929,20,682977,None,346393,186,153387,1465,4795578,707763,6775679
55,Croatia,1035632,3599,14729,50,991921,6076,28982,132,254828,3624,4452415,1095562,4064047
56,Nepal,975132,275,11913,2,948784,2454,14435,100,32516,397,5369664,179052,29989352
57,Tunisia,974214,None,27295,None,909992,None,36927,250,81050,2271,4233759,352229,12019897
58,Bolivia,887089,None,21342,None,760843,None,104904,220,74345,1789,2666178,223445,11932133
59,UAE,873092,882,2292,2,813926,2294,56874,None,86574,227,133473912,13235055,10084878
60,Slovenia,871951,3771,6174,22,769365,11743,96412,113,419328,2969,2554279,1228371,2079403
61,Belarus,868078,8194,6329,16,853535,8364,8214,None,91916,670,12248033,1296876,9444262
62,Lithuania,847993,5635,8219,5,745584,12549,94190,98,318741,3089,7616957,2863039,2660445
63,Ecuador,808925,None,35105,None,N/A,None,None,759,44744,1942,2470170,136632,18078975
64,Uruguay,800833,None,6838,None,750907,None,43088,153,229246,1957,5570632,1594649,3493329
65,Costa Rica,779323,None,7874,None,629174,None,142275,133,150744,1523,3544847,685679,5169833
66,Azerbaijan,768019,3817,9182,25,720865,7541,37972,None,74652,893,6459513,627873,10287931
67,Guatemala,749257,None,16709,None,682971,None,49577,5,40600,905,3781718,204919,18454688
68,Panama,747916,None,7993,None,728682,None,11241,83,169010,1806,5437779,1228798,4425282
69,Saudi Arabia,737334,1376,8981,3,707492,2596,20861,933,20656,252,40005414,1120724,35696039
70,Sri Lanka,634333,1282,15949,23,596639,310,21745,None,29423,740,6205382,287827,21559415
71,Paraguay,632444,None,18116,None,587358,None,26970,165,86932,2490,2499165,343522,7275122
72,Kuwait,610801,1348,2527,2,584578,4522,23696,89,139665,578,7426449,1698119,4373339
73,Finland,605046,4328,2277,12,46000,None,556769,37,108924,410,9794650,1763298,5554733
74,Dominican Republic,571200,311,4354,None,564556,386,2290,57,51810,395,3065877,278085,11024968
75,Latvia,567176,10285,5093,20,417310,9819,144773,81,306210,2750,6523730,3522066,1852245
76,Palestine,565656,None,5088,None,519434,None,41134,112,106843,961,3078533,581485,5294264
77,Myanmar,559314,3058,19322,3,521609,805,18383,None,10169,351,6839661,124349,55003567
78,Singapore,551519,18094,937,7,489299,19606,61283,23,93080,158,23014851,3884208,5925237
79,Venezuela,509600,None,5582,None,491965,None,12053,230,18004,197,3359014,118673,28304758
80,Moldova,492604,1853,11068,27,458066,4155,23470,134,122578,2754,2956939,735795,4018698
81,Bahrain,485163,3651,1435,2,443930,7313,39798,17,269883,798,9266163,5154506,1797682
82,Libya,482153,1208,6178,9,437886,3721,38089,131,68650,880,2379315,338772,7023342
83,Ethiopia,468234,259,7435,5,409523,117,51276,134,3915,62,4456560,37264,119593968
84,Egypt,463370,None,23580,None,395235,None,44555,122,4393,224,3693367,35017,105474175
85,Mongolia,459944,761,2155,3,313256,None,144533,192,136718,641,4030048,1197927,3364186
86,Estonia,448666,6728,2152,4,323438,4947,123076,20,337854,1620,3021182,2275009,1327987
87,Armenia,413295,1417,8278,25,386193,2825,18824,None,139051,2785,2851836,959484,2972260
88,Honduras,406872,None,10608,None,127289,None,268975,105,40043,1044,1263329,124332,10160916
89,Oman,372060,None,4225,None,349666,None,18169,72,69965,795,25000000,4701196,5317796
90,Bosnia and Herzegovina,367641,616,15263,31,192218,None,160160,None,113204,4700,1682745,518152,3247592
91,Qatar,352894,None,660,None,345636,None,6598,34,125683,235,3351308,1193569,2807805
92,Kenya,322640,26,5633,None,302966,29,14041,4,5793,101,3322325,59649,55697600
93,Zambia,310764,290,3942,1,304200,426,2622,33,16168,205,3242675,168705,19220935
94,Cyprus,302739,2304,807,5,124370,None,177562,60,247808,661,9477138,7757552,1221666
95,North Macedonia,290915,None,8851,None,273243,None,8821,None,139646,4249,1859233,892474,2083235
96,Réunion,278494,None,603,None,250359,None,27532,49,307486,666,1424291,1572563,905713
97,Albania,269301,None,3430,None,259065,None,6806,15,93746,1194,1719796,598673,2872681
98,Algeria,263685,316,6780,8,176297,270,80608,23,5842,150,230861,5114,45139214
99,Botswana,261913,None,2608,None,256438,None,2867,1,107834,1074,2026898,834506,2428859
100,Nigeria,254137,None,3141,None,230479,None,20517,11,1185,15,4233363,19741,214447274
101,Uzbekistan,234872,272,1614,2,223076,1366,10182,23,6856,47,1377915,40221,34258494
102,Zimbabwe,232598,None,5381,None,224325,None,2892,12,15287,354,2043572,134313,15214988
103,Montenegro,228182,323,2650,4,222769,482,2763,60,363234,4218,1153069,1835527,628195
104,Mozambique,224841,26,2189,None,218900,71,3752,13,6880,67,1257068,38467,32678971
105,Kyrgyzstan,200255,41,2939,2,193792,191,3524,131,29892,439,1907195,284685,6699322
106,Luxembourg,177372,636,983,1,162852,1989,13537,10,276045,1530,4047952,6299844,642548
107,Afghanistan,171857,178,7526,None,151192,112,13139,1124,4259,186,881419,21842,40354131
108,Maldives,163581,607,290,None,147910,743,15381,25,294193,522,2151267,3868963,556032
109,Uganda,162973,72,3578,1,99759,None,59636,87,3389,74,2426761,50464,48088756
110,Ghana,158220,None,1433,None,156429,None,358,3,4925,45,2284338,71101,32127903
111,Namibia,156936,23,3999,2,152407,13,530,5,59996,1529,943555,360719,2615763
112,El Salvador,147786,None,4027,None,123870,None,19889,153,22599,616,1693464,258960,6539484
113,Laos,140604,251,605,3,7660,None,132339,None,18880,81,997658,133961,7447352
114,Rwanda,129359,14,1454,None,45522,None,82383,None,9600,108,4705956,349255,13474285
115,Jamaica,127436,59,2771,2,74527,377,50138,25,42732,929,830166,278373,2982208
116,Cambodia,125201,414,3015,None,119880,247,2306,None,7324,176,2835916,165887,17095486
117,Guadeloupe,123622,None,828,None,2250,None,120544,21,308874,2069,878298,2194456,400235
118,Trinidad and Tobago,122093,None,3549,None,97869,None,20675,18,86784,2523,610993,434294,1406866
119,Cameroon,119107,None,1920,None,106050,None,11137,13,4312,70,1751774,63423,27620313
120,Martinique,108349,None,861,None,104,None,107384,16,289092,2297,645857,1723246,374791
121,China,107375,87,4636,None,101316,84,1423,7,75,3,160000000,111163,1439323776
122,Iceland,102086,2317,58,None,75685,None,26343,4,296032,168,1699741,4928957,344848
123,Angola,98585,None,1899,None,96488,None,198,None,2855,55,1401427,40588,34527921
124,DRC,85834,None,1316,None,50930,None,33588,None,913,14,846704,9009,93987060
125,Senegal,85521,26,1958,None,83422,37,141,5,4898,112,1003451,57467,17461314
126,Malawi,85179,45,2602,2,74429,377,8148,67,4273,131,541618,27171,19933676
127,Ivory Coast,81282,None,791,None,79098,None,1393,None,2962,29,1391848,50723,27440399
128,Suriname,77549,99,1307,3,49346,19,26896,8,130293,2196,225498,378869,595188
129,French Guiana,77414,None,386,None,11254,None,65774,7,248704,1240,585068,1879622,311269
130,Malta,70516,79,594,None,68522,288,1400,4,159014,1339,1211456,2731845,443457
131,Eswatini,68957,32,1386,None,67379,82,192,11,58452,1175,471248,399459,1179715
132,Fiji,63624,24,824,1,61788,11,1012,None,70146,908,495355,546135,907019
133,Madagascar,62844,None,1335,None,56500,None,5009,224,2178,46,387097,13418,28848474
134,Guyana,62537,None,1203,None,60300,None,1034,10,78888,1518,529470,667906,792731
135,Sudan,59939,None,3831,None,40329,None,15779,None,1317,84,562941,12368,45514173
136,Mauritania,58595,2,976,1,57475,29,144,30,12086,201,727781,150109,4848365
137,French Polynesia,58260,None,637,None,N/A,None,None,7,205466,2247,None,None,283551
138,Belize,55975,None,633,None,52649,None,2693,6,136734,1546,490126,1197266,409371
139,Cabo Verde,55858,2,400,None,55384,9,74,23,98721,707,400982,708680,565815
140,Syria,53278,None,3041,None,44517,None,5720,None,2929,167,146269,8040,18191959
141,Barbados,52909,None,307,None,48436,None,4166,None,183745,1066,572792,1989220,287948
142,Channel Islands,48271,None,139,None,45251,None,2881,None,273535,788,1203421,6819370,176471
143,Gabon,47467,None,302,None,44623,None,2542,3,20538,131,1560376,675155,2311137
144,New Caledonia,43885,1037,287,None,29807,2561,13791,45,151346,990,98964,341296,289965
145,Papua New Guinea,39580,545,628,None,37504,468,1448,7,4292,68,249149,27015,9222721
146,Seychelles,38766,None,159,None,37803,None,804,None,390243,1601,None,None,99338
147,Curaçao,38657,49,260,None,37731,85,666,3,234022,1574,480430,2908436,165185
148,Burundi,37947,None,38,None,773,None,37136,None,3044,3,345742,27734,12466424
149,Andorra,37589,67,150,None,36668,39,771,14,485232,1936,249838,3225131,77466
150,Hong Kong,37071,None,238,None,13232,None,23601,None,4880,31,36260319,4773616,7595986
151,Togo,36710,None,271,None,36264,None,175,None,4271,32,680040,79127,8594252
152,Mayotte,36572,None,187,None,2964,None,33421,None,128993,660,176919,624011,283519
153,Guinea,36354,None,438,None,32684,None,3232,49,2651,32,587607,42854,13711924
154,Aruba,33585,17,198,None,33322,31,65,7,312407,1842,177885,1654683,107504
155,Tanzania,33549,None,796,None,N/A,None,None,7,537,13,None,None,62500069
156,Bahamas,33018,13,768,None,25737,99,6513,9,82677,1923,216233,541449,399360
157,Lesotho,32434,None,696,None,23116,None,8622,None,14947,321,391628,180483,2169892
158,Faeroe Islands,30571,None,24,None,7693,None,22854,5,621804,488,771000,15681888,49165
159,Mali,30333,12,717,None,28426,85,1190,None,1431,34,612778,28906,21198998
160,Haiti,30162,None,814,None,25152,None,4196,None,2594,70,132422,11387,11628746
161,Mauritius,28891,None,762,None,25684,None,2445,None,22656,598,358675,281269,1275204
