twoDaysRank,twoDaysCountry,twoDaysTotalCases,twoDaysNewCases,twoDaysTotalDeaths,twoDaysNewDeaths,twoDaysTotalRecovered,twoDaysNewRecovered,twoDaysActiveCases,twoDaysSeriousCritical,twoDaysCasesPerMillion,twoDaysDeathsPerMillion,twoDaysTotalTests,twoDaysTestsPerMillion,twoDaysPopulation
1,USA,80719905,49053,978015,1672,53739739,230543,26002151,7522,241509,2926,951544688,2846965,334231210
2,India,42938599,7554,514246,192,42338673,14123,85680,8944,30614,367,768382993,547840,1402569091
3,Brazil,28811165,23545,649717,274,26506005,169632,1655443,8318,133960,3021,63776166,296533,215072597
4,France,22782609,79794,138576,209,21080886,179382,1563147,2484,347753,2115,246629975,3764551,65513777
5,UK,18985117,23976,161630,15,17537214,87564,1286273,289,277239,2360,482718940,7049134,68479184
6,Russia,16495369,97333,352446,786,13748465,172813,2394458,2300,112952,2413,273400000,1872108,146038558
7,Germany,14974713,150565,123721,275,11239500,228800,3611492,2494,177784,1469,104701826,1243053,84229585
8,Turkey,14149341,59885,94648,203,13437729,71545,616964,1128,164818,1103,144214377,1679874,85848342
9,Italy,12831489,48148,155000,233,11601742,73607,1074747,708,212745,2570,187867237,3114823,60313928
10,Spain,11036085,14641,99883,119,9679247,118803,1256955,1053,235890,2135,471036328,10068126,46784904
11,Argentina,8904176,3520,126257,105,8688724,6534,89195,1136,194052,2752,34279674,747069,45885536
12,Iran,7060741,9312,137064,226,6665702,13514,257975,4027,82312,1598,47252235,550849,85780675
13,Netherlands,6398114,36488,21570,16,4416938,84253,1959606,174,372028,1254,21107399,1227321,17197940
14,Colombia,6065801,1218,138854,87,5892530,1967,34417,342,117135,2681,33224395,641585,51784841
15,Poland,5680030,12980,111587,270,5073307,16138,495136,807,150354,2954,33715893,892482,37777656
16,Indonesia,5589176,24728,148660,325,4901302,39887,539214,2911,20081,534,84648008,304124,278333780
17,Mexico,5508629,2524,318149,63,4781564,8433,408916,4798,41991,2425,15089355,115023,131185592
18,Japan,5005892,55243,23633,187,4264616,74491,717643,1456,39782,188,38993335,309883,125832372
19,Ukraine,4809624,None,105505,None,4058020,None,646099,177,111085,2437,19521252,450872,43296682
20,South Africa,3675691,1649,99430,18,3551039,7930,25222,546,60703,1642,23111817,381684,60552159
21,Philippines,3663054,1062,56451,None,3554967,1603,51636,298,32704,504,28203435,251802,112006337
22,Israel,3641304,6794,10218,20,3557940,10930,73146,574,390446,1096,41373364,4436346,9326000
23,Vietnam,3599180,99916,40338,86,2479883,40932,1078959,3851,36431,408,79309194,802764,98795216
24,Czechia,3587946,10145,38738,47,3463082,13472,86126,203,334010,3606,52650835,4901386,10742030
25,Belgium,3557314,2498,30179,17,3025804,48201,501331,241,304734,2585,31718358,2717119,11673524
26,Peru,3518721,1461,210744,72,None,None,None,948,104303,6247,27407063,812408,33735577
27,Malaysia,3468590,25854,32827,78,3142112,25548,293651,374,104932,993,49763443,1505448,33055576
28,Canada,3296874,3894,36638,36,3148232,2359,112004,666,86097,957,58238581,1520886,38292534
