yesterdayRank,yesterdayCountry,yesterdayTotalCases,yesterdayNewCases,yesterdayTotalDeaths,yesterdayNewDeaths,yesterdayTotalRecovered,yesterdayNewRecovered,yesterdayActiveCases,yesterdaySeriousCritical,yesterdayCasesPerMillion,yesterdayDeathsPerMillion,yesterdayTotalTests,yesterdayTestsPerMillion,yesterdayPopulation
1,USA,80278321,63419,963604,1568,52199829,220355,27114888,10400,240218,2883,942817780,2821212,334188863
2,India,42867031,15102,512652,281,42189887,31377,164492,8944,30570,366,761230580,542855,1402272769
3,Brazil,28351876,101285,645534,839,25505984,261958,2200358,8318,131845,3002,63776166,296579,215039621
4,France,22401406,97382,137276,285,19740327,319295,2523803,3055,341951,2095,243529298,3717401,65510629
5,UK,18695027,40989,160815,205,16918511,101391,1615701,324,273034,2349,477969909,6980577,68471406
6,Russia,15657928,135172,347031,796,12657025,164293,2653872,2300,107219,2376,273400000,1872126,146037195
7,Germany,13872762,158507,122369,329,10031200,201900,3719193,2494,164713,1453,104701826,1243139,84223745
8,Turkey,13675581,86070,92990,271,12853899,98199,728692,1128,159336,1083,141211474,1645275,85828516
9,Italy,12554718,60151,153512,322,11109291,89993,1291915,896,208150,2545,184981913,3066887,60315864
10,Spain,10880194,22194,98635,173,8876996,141095,1904563,1185,232560,2108,471036328,10068211,46784509
11,Argentina,8855624,16950,125618,167,8607471,11011,122535,1474,193032,2738,33992595,740959,45876480
12,Iran,6983635,22073,135499,223,6539753,22317,308383,3918,81435,1580,46780865,545504,85757177
13,Netherlands,6153207,34665,21507,18,3922750,74414,2208950,171,357805,1251,21107399,1227380,17197114
14,Colombia,6052126,2174,138285,80,5874444,3565,39397,342,116897,2671,33016280,637712,51772994
15,Poland,5582224,18799,110157,325,4935340,44530,536727,947,147762,2916,33181435,878314,37778558
16,Mexico,5418257,4832,315786,98,4676499,12177,425972,4798,41312,2408,14895473,113571,131156002
17,Indonesia,5289414,57491,146798,257,4593185,38474,549431,2807,19008,528,82000597,294679,278270598
18,Ukraine,4758773,24440,104932,287,3985601,33238,668240,177,109896,2423,19430200,448710,43302395
19,Japan,4540656,55903,22000,179,3698801,85534,819855,1504,36083,175,37793387,300327,125840797
